title,authors,year,venue,doi,arxiv_identifier,ssrn_identifier,canonical_source,asset_class,instrument_type,prediction_or_decision_target,forecast_horizon,input_data,data_frequency,dataset_period,split_design,validation_design,leakage_controls,cost_assumptions,execution_assumptions,forecast_metrics,economic_metrics,reported_result,independent_replication_evidence,negative_evidence,official_code_availability,code_license,data_license,main_limitations,repository_relevance,implementation_suitability,final_disposition,verification_scope
Deep Learning with Long Short-Term Memory Networks for Financial Market Predictions,Thomas Fischer; Christopher Krauss,2018,European Journal of Operational Research,10.1016/j.ejor.2017.11.054,,,https://doi.org/10.1016/j.ejor.2017.11.054,equities,S&P 500 constituents,next-day direction and return ranking,one day,lagged returns,daily,1992-2015,rolling train/test comparison against RF; DNN; logistic,rolling train/test comparison against RF; DNN; logistic,chronological rolling samples; historical constituents,5 bp per half turn in reported trading test,not separately reported / not verified,accuracy; MCC,returns; Sharpe; drawdown; trades,LSTM leads full sample but edge decays materially late and after costs,many ML finance studies; fragile net replication,constituent and tuning bias; simplified execution,author code not canonical,not stated,index/market data restrictions,constituent and tuning bias; simplified execution,current LSTM is architectural but validation/provenance gaps remain,57,Monitor,"inherited repository primary-source review; immutable earlier evidence, not a fresh replication"
A Time Series is Worth 64 Words: Long-term Forecasting with Transformers,Yuqi Nie et al.,2023,ICLR,,,,https://openreview.net/forum?id=Jbdc0vTOcol,multi-domain,benchmark time series,long-horizon values,96-720 steps in common benchmarks,patched univariate channels,hourly/daily and other,standard LTSF datasets,chronological benchmark splits,chronological benchmark splits,patches drawn from past context; channel independence,not a trading study,not separately reported / not verified,MSE; MAE,none,strong long-horizon benchmark performance,many replications with protocol sensitivity,no costs or finance; benchmark controversies,official GitHub available,Apache-2.0,benchmark licenses vary,no costs or finance; benchmark controversies,current identifier is a ridge patch-summary proxy,38,Reject,"inherited repository primary-source review; immutable earlier evidence, not a fresh replication"
The Price Impact of Order Book Events,Rama Cont; Arseniy Kukanov; Sasha Stoikov,2014,Journal of Financial Econometrics,10.1093/jjfinec/nbt003,,,https://doi.org/10.1093/jjfinec/nbt003,equities,50 US limit-order books,short-interval price change,seconds to minutes,best-quote order-flow imbalance and depth,event/tick,one month of 2010 data,cross-stock and interval regressions,cross-stock and interval regressions,event ordering retained; causal forecasting distinction limited,no executable strategy costs,not separately reported / not verified,R-squared and regression slopes,none,price change is linearly related to OFI; impact inversely related to depth,substantial microstructure replication,main result is partly contemporaneous; queue/fill gap,code not canonical,not applicable,proprietary order-book source,main result is partly contemporaneous; queue/fill gap,strong mechanism but missing required data,79,Prototype,"inherited repository primary-source review; immutable earlier evidence, not a fresh replication"
Risks and Returns of Cryptocurrency,Yukun Liu; Aleh Tsyvinski,2021,Review of Financial Studies,10.1093/rfs/hhaa113,,,https://doi.org/10.1093/rfs/hhaa113,cryptocurrency,spot crypto indices/assets,aggregate crypto return,weekly,network; production; momentum; attention,daily/weekly,2011-2018-era sample,predictive regressions and portfolio tests,predictive regressions and portfolio tests,lagged predictors; timing details vary by source,turnover and implementation costs not comprehensive,not separately reported / not verified,predictive t-statistics and R-squared,portfolio returns,network growth; momentum; attention forecast returns; production proxies weak,substantial citations; later-market stability mixed,short early sample; revisions and many predictors,supplementary resources available,author/publisher terms,source-specific,short early sample; revisions and many predictors,supports causal alt-data ablation only,75,Monitor,"inherited repository primary-source review; immutable earlier evidence, not a fresh replication"
Common Risk Factors in Cryptocurrency,Yukun Liu; Aleh Tsyvinski; Xi Wu,2022,Journal of Finance,10.1111/jofi.13119,,,https://doi.org/10.1111/jofi.13119,cryptocurrency,broad spot coin panel,cross-sectional expected return,weekly,price; size; volume; volatility characteristics,daily/weekly,2014-2020-era sample,portfolio sorts; factor spanning; subperiod analyses,portfolio sorts; factor spanning; subperiod analyses,lagged characteristics and broad universe,tradability filters and costs considered but not venue-level fills,not separately reported / not verified,factor regressions and alphas,long-short returns; Sharpe-like statistics,market size and momentum factors span ten successful characteristics,replication code available; later portability still uncertain,survivorship; exchange fragmentation; investability,publisher replication ZIP,publisher supplemental terms,source data terms vary,survivorship; exchange fragmentation; investability,best support for true PIT ranker,83,Monitor,"inherited repository primary-source review; immutable earlier evidence, not a fresh replication"
A Reality Check for Data Snooping,Halbert White,2000,Econometrica,10.1111/1468-0262.00152,,,https://doi.org/10.1111/1468-0262.00152,general/financial,strategy families,best-model superiority,sample-level,complete family of model losses,time series,methodological and empirical illustration,bootstrap over searched family,bootstrap over searched family,explicit multiplicity correction,inherits submitted loss including costs,not separately reported / not verified,loss differentials and p-values,best-rule performance,many apparent winners lose significance after data-snooping correction,foundational and widely used,requires complete trial family and valid bootstrap,author routines historically available,varies,application-specific,requires complete trial family and valid bootstrap,canonical evaluation safeguard,94,Integrate,"inherited repository primary-source review; immutable earlier evidence, not a fresh replication"
The Deflated Sharpe Ratio: Correcting for Selection Bias Backtest Overfitting and Non-Normality,David H. Bailey; Marcos López de Prado,2014,Journal of Portfolio Management / SSRN,10.2139/ssrn.2460551,,,https://doi.org/10.2139/ssrn.2460551,general/financial,strategy return series,Sharpe significance after selection,whole backtest,Sharpe; skew; kurtosis; trial count/correlation,return series,methodological,analytical correction relative to expected maximum Sharpe,analytical correction relative to expected maximum Sharpe,explicit selection and non-normality adjustment,costs must already be in returns,not separately reported / not verified,DSR probability,risk-adjusted return confidence,conventional Sharpe confidence is overstated after selection,widely used; implementation details sometimes vary,cannot fix omitted trials leakage or wrong costs,reference implementations exist,varies,application-specific,cannot fix omitted trials leakage or wrong costs,formal research implementation already exists,96,Integrate,"inherited repository primary-source review; immutable earlier evidence, not a fresh replication"
The Probability of Backtest Overfitting,David H. Bailey; Jonathan Borwein; Marcos López de Prado; Qiji Jim Zhu,2017,Journal of Computational Finance,10.21314/JCF.2016.322,,,https://doi.org/10.21314/JCF.2016.322,general/financial,strategy trial matrix,selection overfit probability,whole backtest partitions,aligned returns for all trials,return series,methodological with examples,CSCV train/test rank comparison,CSCV train/test rank comparison,direct selection-instability estimate,costs must already be in returns,not separately reported / not verified,PBO and logits,rank degradation,quantifies likelihood that in-sample winner underperforms OOS,growing use; sensitive to implementation and sample,needs complete finite aligned matrix and enough observations,reference code exists,varies,application-specific,needs complete finite aligned matrix and enough observations,formal research implementation already exists,95,Integrate,"inherited repository primary-source review; immutable earlier evidence, not a fresh replication"
A Contextual-Bandit Approach to Personalized News Article Recommendation,Li; Chu; Langford; Schapire,2010,WWW,,1003.0146,,https://arxiv.org/abs/1003.0146,nonfinancial methodological benchmark,simulated actions,discounted reward / policy-value estimation; not a market-price forecast,episodic multi-step; one-step for contextual bandit,randomized news recommendation logs,simulator transition; not market calendar frequency,not applicable to simulator trajectories,training/evaluation environments or fixed logged data; no financial chronological split,primary benchmark or theoretical result; repository requires chronological purged evaluation,no claim of financial point-in-time controls in nonfinancial benchmark,financial costs not modeled; repository-specific simulator required,environment transition law; no exchange fill model,not applicable to policy learning,"task return / value-estimation error, not net trading Sharpe",Immediate reward regression with optimism; randomized logging permits replay evaluation.,Later RL benchmark comparisons exist for established methods; no independent net crypto replication verified here,Randomized one-step support does not establish sequential inventory value.,Not independently verified for this row; no code copied,No third-party code reused; verify before reuse,Benchmark-specific; no benchmark data redistributed,Randomized one-step support does not establish sequential inventory value.,Sequential-control methodology; see candidate-scorecard.md,Research only; no adoption score inferred from published return,Prototype,primary source reviewed at 2026-09-17; calendar/cost claims limited to stated evidence
Q-learning,Watkins; Dayan,1992,Machine Learning,10.1007/BF00992698,,,https://doi.org/10.1007/BF00992698,nonfinancial methodological benchmark,simulated actions,discounted reward / policy-value estimation; not a market-price forecast,episodic multi-step; one-step for contextual bandit,tabular MDPs,simulator transition; not market calendar frequency,not applicable to simulator trajectories,training/evaluation environments or fixed logged data; no financial chronological split,primary benchmark or theoretical result; repository requires chronological purged evaluation,no claim of financial point-in-time controls in nonfinancial benchmark,financial costs not modeled; repository-specific simulator required,environment transition law; no exchange fill model,not applicable to policy learning,"task return / value-estimation error, not net trading Sharpe",Off-policy Bellman updates converge under finite-state visitation assumptions.,Later RL benchmark comparisons exist for established methods; no independent net crypto replication verified here,Market history is neither stationary nor exhaustively visited.,Not independently verified for this row; no code copied,No third-party code reused; verify before reuse,Benchmark-specific; no benchmark data redistributed,Market history is neither stationary nor exhaustively visited.,Sequential-control methodology; see candidate-scorecard.md,Research only; no adoption score inferred from published return,Monitor,primary source reviewed at 2026-09-17; calendar/cost claims limited to stated evidence
Human-level control through deep reinforcement learning,Mnih et al.,2015,Nature,10.1038/nature14236,,,https://doi.org/10.1038/nature14236,nonfinancial methodological benchmark,simulated actions,discounted reward / policy-value estimation; not a market-price forecast,episodic multi-step; one-step for contextual bandit,Atari simulator,simulator transition; not market calendar frequency,not applicable to simulator trajectories,training/evaluation environments or fixed logged data; no financial chronological split,primary benchmark or theoretical result; repository requires chronological purged evaluation,no claim of financial point-in-time controls in nonfinancial benchmark,financial costs not modeled; repository-specific simulator required,environment transition law; no exchange fill model,not applicable to policy learning,"task return / value-estimation error, not net trading Sharpe",Replay and a target network stabilize nonlinear action-value learning.,Later RL benchmark comparisons exist for established methods; no independent net crypto replication verified here,Game scores do not measure economic return or execution risk.,Not independently verified for this row; no code copied,No third-party code reused; verify before reuse,Benchmark-specific; no benchmark data redistributed,Game scores do not measure economic return or execution risk.,Sequential-control methodology; see candidate-scorecard.md,Research only; no adoption score inferred from published return,Monitor,primary source reviewed at 2026-09-17; calendar/cost claims limited to stated evidence
Deep Reinforcement Learning with Double Q-learning,van Hasselt; Guez; Silver,2016,AAAI,,1509.06461,,https://arxiv.org/abs/1509.06461,nonfinancial methodological benchmark,simulated actions,discounted reward / policy-value estimation; not a market-price forecast,episodic multi-step; one-step for contextual bandit,Atari simulator,simulator transition; not market calendar frequency,not applicable to simulator trajectories,training/evaluation environments or fixed logged data; no financial chronological split,primary benchmark or theoretical result; repository requires chronological purged evaluation,no claim of financial point-in-time controls in nonfinancial benchmark,financial costs not modeled; repository-specific simulator required,environment transition law; no exchange fill model,not applicable to policy learning,"task return / value-estimation error, not net trading Sharpe",Separate action selection from target evaluation to reduce overestimation.,Later RL benchmark comparisons exist for established methods; no independent net crypto replication verified here,Does not solve offline action extrapolation or regime shift.,Not independently verified for this row; no code copied,No third-party code reused; verify before reuse,Benchmark-specific; no benchmark data redistributed,Does not solve offline action extrapolation or regime shift.,Sequential-control methodology; see candidate-scorecard.md,Research only; no adoption score inferred from published return,Prototype,primary source reviewed at 2026-09-17; calendar/cost claims limited to stated evidence
Proximal Policy Optimization Algorithms,Schulman; Wolski; Dhariwal; Radford; Klimov,2017,arXiv,,1707.06347,,https://arxiv.org/abs/1707.06347,nonfinancial methodological benchmark,simulated actions,discounted reward / policy-value estimation; not a market-price forecast,episodic multi-step; one-step for contextual bandit,Atari and continuous-control simulators,simulator transition; not market calendar frequency,not applicable to simulator trajectories,training/evaluation environments or fixed logged data; no financial chronological split,primary benchmark or theoretical result; repository requires chronological purged evaluation,no claim of financial point-in-time controls in nonfinancial benchmark,financial costs not modeled; repository-specific simulator required,environment transition law; no exchange fill model,not applicable to policy learning,"task return / value-estimation error, not net trading Sharpe",Clipped policy-ratio objective reuses fresh on-policy rollouts.,Later RL benchmark comparisons exist for established methods; no independent net crypto replication verified here,Clipping is not a hard safety or worst-case loss constraint.,Not independently verified for this row; no code copied,No third-party code reused; verify before reuse,Benchmark-specific; no benchmark data redistributed,Clipping is not a hard safety or worst-case loss constraint.,Sequential-control methodology; see candidate-scorecard.md,Research only; no adoption score inferred from published return,Prototype,primary source reviewed at 2026-09-17; calendar/cost claims limited to stated evidence
Soft Actor-Critic: Off-Policy Maximum Entropy Deep Reinforcement Learning with a Stochastic Actor,Haarnoja; Zhou; Abbeel; Levine,2018,ICML,,,,https://proceedings.mlr.press/v80/haarnoja18b.html,nonfinancial methodological benchmark,simulated actions,discounted reward / policy-value estimation; not a market-price forecast,episodic multi-step; one-step for contextual bandit,continuous control,simulator transition; not market calendar frequency,not applicable to simulator trajectories,training/evaluation environments or fixed logged data; no financial chronological split,primary benchmark or theoretical result; repository requires chronological purged evaluation,no claim of financial point-in-time controls in nonfinancial benchmark,financial costs not modeled; repository-specific simulator required,environment transition law; no exchange fill model,not applicable to policy learning,"task return / value-estimation error, not net trading Sharpe",Entropy-regularized actor-critic improves continuous-control learning.,Later RL benchmark comparisons exist for established methods; no independent net crypto replication verified here,Exploration and reward scale require care; continuous action unnecessary here.,Not independently verified for this row; no code copied,No third-party code reused; verify before reuse,Benchmark-specific; no benchmark data redistributed,Exploration and reward scale require care; continuous action unnecessary here.,Sequential-control methodology; see candidate-scorecard.md,Research only; no adoption score inferred from published return,Monitor,primary source reviewed at 2026-09-17; calendar/cost claims limited to stated evidence
Addressing Function Approximation Error in Actor-Critic Methods,Fujimoto; van Hoof; Meger,2018,ICML,,,,https://proceedings.mlr.press/v80/fujimoto18a.html,nonfinancial methodological benchmark,simulated actions,discounted reward / policy-value estimation; not a market-price forecast,episodic multi-step; one-step for contextual bandit,continuous control,simulator transition; not market calendar frequency,not applicable to simulator trajectories,training/evaluation environments or fixed logged data; no financial chronological split,primary benchmark or theoretical result; repository requires chronological purged evaluation,no claim of financial point-in-time controls in nonfinancial benchmark,financial costs not modeled; repository-specific simulator required,environment transition law; no exchange fill model,not applicable to policy learning,"task return / value-estimation error, not net trading Sharpe",Twin critics and delayed actor updates reduce value bias.,Later RL benchmark comparisons exist for established methods; no independent net crypto replication verified here,No offline-support guarantee; continuous action unnecessary here.,Not independently verified for this row; no code copied,No third-party code reused; verify before reuse,Benchmark-specific; no benchmark data redistributed,No offline-support guarantee; continuous action unnecessary here.,Sequential-control methodology; see candidate-scorecard.md,Research only; no adoption score inferred from published return,Monitor,primary source reviewed at 2026-09-17; calendar/cost claims limited to stated evidence
Conservative Q-Learning for Offline Reinforcement Learning,Kumar; Zhou; Tucker; Levine,2020,NeurIPS,,2006.04779,,https://arxiv.org/abs/2006.04779,nonfinancial methodological benchmark,simulated actions,discounted reward / policy-value estimation; not a market-price forecast,episodic multi-step; one-step for contextual bandit,D4RL and Atari offline datasets,simulator transition; not market calendar frequency,not applicable to simulator trajectories,training/evaluation environments or fixed logged data; no financial chronological split,primary benchmark or theoretical result; repository requires chronological purged evaluation,no claim of financial point-in-time controls in nonfinancial benchmark,financial costs not modeled; repository-specific simulator required,environment transition law; no exchange fill model,not applicable to policy learning,"task return / value-estimation error, not net trading Sharpe",Penalize high values on actions outside observed behavior.,Later RL benchmark comparisons exist for established methods; no independent net crypto replication verified here,Conservatism depends on assumptions and penalty; cannot certify market safety.,https://github.com/aviralkumar2907/CQL; author warns of D4RL version sensitivity,No third-party code reused; verify before reuse,Benchmark-specific; no benchmark data redistributed,Conservatism depends on assumptions and penalty; cannot certify market safety.,Sequential-control methodology; see candidate-scorecard.md,Research only; no adoption score inferred from published return,Prototype,primary source reviewed at 2026-09-17; calendar/cost claims limited to stated evidence
Offline Reinforcement Learning with Implicit Q-Learning,Kostrikov; Nair; Levine,2022,ICLR,,2110.06169,,https://arxiv.org/abs/2110.06169,nonfinancial methodological benchmark,simulated actions,discounted reward / policy-value estimation; not a market-price forecast,episodic multi-step; one-step for contextual bandit,D4RL offline datasets,simulator transition; not market calendar frequency,not applicable to simulator trajectories,training/evaluation environments or fixed logged data; no financial chronological split,primary benchmark or theoretical result; repository requires chronological purged evaluation,no claim of financial point-in-time controls in nonfinancial benchmark,financial costs not modeled; repository-specific simulator required,environment transition law; no exchange fill model,not applicable to policy learning,"task return / value-estimation error, not net trading Sharpe",Expectile value fitting and advantage-weighted policy extraction avoid querying unseen actions during improvement.,Later RL benchmark comparisons exist for established methods; no independent net crypto replication verified here,Function approximation and behavior coverage still limit reliability.,https://github.com/ikostrikov/implicit_q_learning,No third-party code reused; verify before reuse,Benchmark-specific; no benchmark data redistributed,Function approximation and behavior coverage still limit reliability.,Sequential-control methodology; see candidate-scorecard.md,Research only; no adoption score inferred from published return,Monitor,primary source reviewed at 2026-09-17; calendar/cost claims limited to stated evidence
Off-Policy Deep Reinforcement Learning without Exploration,Fujimoto; Meger; Precup,2019,ICML,,,,https://proceedings.mlr.press/v97/fujimoto19a.html,nonfinancial methodological benchmark,simulated actions,discounted reward / policy-value estimation; not a market-price forecast,episodic multi-step; one-step for contextual bandit,batch continuous-control data,simulator transition; not market calendar frequency,not applicable to simulator trajectories,training/evaluation environments or fixed logged data; no financial chronological split,primary benchmark or theoretical result; repository requires chronological purged evaluation,no claim of financial point-in-time controls in nonfinancial benchmark,financial costs not modeled; repository-specific simulator required,environment transition law; no exchange fill model,not applicable to policy learning,"task return / value-estimation error, not net trading Sharpe",Constrain action candidates to modeled batch support.,Later RL benchmark comparisons exist for established methods; no independent net crypto replication verified here,Learned support and simulator benchmarks do not validate exchange fills.,Not independently verified for this row; no code copied,No third-party code reused; verify before reuse,Benchmark-specific; no benchmark data redistributed,Learned support and simulator benchmarks do not validate exchange fills.,Sequential-control methodology; see candidate-scorecard.md,Research only; no adoption score inferred from published return,Monitor,primary source reviewed at 2026-09-17; calendar/cost claims limited to stated evidence
Stabilizing Off-Policy Q-Learning via Bootstrapping Error Reduction,Kumar; Fu; Tucker; Levine,2019,NeurIPS,,1906.00949,,https://arxiv.org/abs/1906.00949,nonfinancial methodological benchmark,simulated actions,discounted reward / policy-value estimation; not a market-price forecast,episodic multi-step; one-step for contextual bandit,offline continuous-control data,simulator transition; not market calendar frequency,not applicable to simulator trajectories,training/evaluation environments or fixed logged data; no financial chronological split,primary benchmark or theoretical result; repository requires chronological purged evaluation,no claim of financial point-in-time controls in nonfinancial benchmark,financial costs not modeled; repository-specific simulator required,environment transition law; no exchange fill model,not applicable to policy learning,"task return / value-estimation error, not net trading Sharpe",Restrict learned action support to curb bootstrapping error.,Later RL benchmark comparisons exist for established methods; no independent net crypto replication verified here,Support-distance tuning and finite data remain consequential.,Not independently verified for this row; no code copied,No third-party code reused; verify before reuse,Benchmark-specific; no benchmark data redistributed,Support-distance tuning and finite data remain consequential.,Sequential-control methodology; see candidate-scorecard.md,Research only; no adoption score inferred from published return,Monitor,primary source reviewed at 2026-09-17; calendar/cost claims limited to stated evidence
A Minimalist Approach to Offline Reinforcement Learning,Fujimoto; Gu,2021,NeurIPS,,2106.06860,,https://arxiv.org/abs/2106.06860,nonfinancial methodological benchmark,simulated actions,discounted reward / policy-value estimation; not a market-price forecast,episodic multi-step; one-step for contextual bandit,D4RL offline datasets,simulator transition; not market calendar frequency,not applicable to simulator trajectories,training/evaluation environments or fixed logged data; no financial chronological split,primary benchmark or theoretical result; repository requires chronological purged evaluation,no claim of financial point-in-time controls in nonfinancial benchmark,financial costs not modeled; repository-specific simulator required,environment transition law; no exchange fill model,not applicable to policy learning,"task return / value-estimation error, not net trading Sharpe",Behavior cloning regularizes TD3 with a small implementation change.,Later RL benchmark comparisons exist for established methods; no independent net crypto replication verified here,Strong simple baseline; no financial causal-support evidence.,https://github.com/sfujim/TD3_BC,No third-party code reused; verify before reuse,Benchmark-specific; no benchmark data redistributed,Strong simple baseline; no financial causal-support evidence.,Sequential-control methodology; see candidate-scorecard.md,Research only; no adoption score inferred from published return,Monitor,primary source reviewed at 2026-09-17; calendar/cost claims limited to stated evidence
